city_id,city_name,hotel_id,hotel_name,hotel_latitude,hotel_longitude,hotel_country_code,hotel_source,chain_code,dupe_id,hotel_overall_rating,hotel_sentiment_scores,hotel_price_eur,hotel_currency,distance_to_city_center_km,osm_type,osm_raw_id,osm_tags,collected_at,rating_for_score,distance_for_score,hotel_score,hotel_rank
city_biarritz,Biarritz,osm_node_1361442955,Hôtel Mercure Le Président,43.4818119,-1.559779,FR,OpenStreetMap,Mercure,,4.0,,,EUR,0.165,node,1361442955,"{'brand': 'Mercure', 'brand:wikidata': 'Q1709809', 'brand:wikipedia': 'fr:Mercure (hôtels)', 'name': 'Hôtel Mercure Le Président', 'operator': 'accord Hotel', 'phone': '+33 5 59 24 66 40', 'rooms': '69', 'stars': '4', 'tourism': 'hotel', 'wheelchair': 'yes'}",2026-04-02T07:43:16.048137+00:00,4.0,0.165,39.67,1
city_annecy,Annecy,osm_node_4416258677,Lofts & Lakes,45.8979671,6.1277302,FR,OpenStreetMap,,,4.0,,,EUR,0.167,node,4416258677,"{'name': 'Lofts & Lakes', 'stars': '4', 'tourism': 'hotel', 'website': 'https://www.loftsandlakes.com/'}",2026-04-02T07:38:59.540422+00:00,4.0,0.167,39.666,1
city_colmar,Colmar,osm_node_1929251016,Hôtel Quatorze,48.0762613,7.3565002,FR,OpenStreetMap,,,4.0,,,EUR,0.198,node,1929251016,"{'check_date': '2025-06-17', 'contact:city': 'Colmar', 'contact:country': 'FR', 'contact:email': 'info@hotelquatorze.com', 'contact:fax': '+33 3 89 20 45 29', 'contact:housenumber': '14', 'contact:phone': '+33 3 89 20 45 20', 'contact:postcode': '68000', 'contact:street': 'Rue des Augustins', 'contact:website': 'http://hotelquatorze.com', 'name': 'Hôtel Quatorze', 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012', 'stars': '4', 'tourism': 'hotel'}",2026-04-02T07:38:11.911566+00:00,4.0,0.198,39.604,2
city_toulouse,Toulouse,osm_node_918233336,Novotel Toulouse Centre Wilson,43.6051525,1.4468585,FR,OpenStreetMap,Novotel,,4.0,,,EUR,0.224,node,918233336,"{'addr:postcode': '31000', 'brand': 'Novotel', 'brand:wikidata': 'Q420545', 'brand:wikipedia': 'fr:Novotel', 'internet_access': 'wlan', 'internet_access:fee': 'no', 'name': 'Novotel Toulouse Centre Wilson', 'operator': 'Novotel', 'stars': '4', 'tourism': 'hotel'}",2026-04-02T07:42:46.485587+00:00,4.0,0.224,39.552,4
city_bayonne,Bayonne,osm_way_72697494,Villa Koegui,43.4922777,-1.4726381,FR,OpenStreetMap,,,4.0,,,EUR,0.262,way,72697494,"{'building': 'hotel', 'check_date': '2024-11-26', 'name': 'Villa Koegui', 'official_name': 'Hôtel Villa Koegui Bayonne', 'ref:FR:SIRET': '50379402600024', 'rooms': '43', 'stars': '4', 'tourism': 'hotel'}",2026-04-02T07:43:30.804919+00:00,4.0,0.262,39.476,1
city_amiens,Amiens,osm_way_140252380,Mercure,49.8960615,2.299499,FR,OpenStreetMap,Mercure,,4.0,,,EUR,0.344,way,140252380,"{'brand': 'Mercure', 'brand:wikidata': 'Q1709809', 'brand:wikipedia': 'en:Mercure (hotel)', 'building': 'yes', 'internet_access': 'wlan', 'internet_access:fee': 'no', 'name': 'Mercure', 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011', 'stars': '4', 'tourism': 'hotel', 'website': 'https://all.accor.com/hotel/7076/index.fr.shtml', 'wheelchair': 'yes'}",2026-04-02T07:37:11.469871+00:00,4.0,0.344,39.312,2
city_le_havre,Le Havre,osm_node_1867234708,Hôtel du Pasino du Havre,49.4913744,0.1117003,FR,OpenStreetMap,,,4.0,,,EUR,0.389,node,1867234708,"{'name': 'Hôtel du Pasino du Havre', 'stars': '4', 'tourism': 'hotel', 'website': 'http://www.lehavrehotel.fr/'}",2026-04-02T07:36:25.171509+00:00,4.0,0.389,39.222,1
city_dijon,Dijon,osm_node_905520220,Hostellerie du Chapeau Rouge,47.321321,5.0357327,FR,OpenStreetMap,,,4.0,,,EUR,0.433,node,905520220,"{'addr:city': 'Dijon', 'addr:housenumber': '5', 'addr:postcode': '21000', 'addr:street': 'Rue Michelet', 'email': 'contact@chapeau-rouge.fr', 'internet_access': 'yes', 'internet_access:fee': 'no', 'name': 'Hostellerie du Chapeau Rouge', 'phone': '+33 3 80 50 88 88', 'stars': '4', 'tourism': 'hotel', 'website': 'https://www.chapeau-rouge.fr/fr/chambres-et-suites-hotel-charme-dijon'}",2026-04-02T07:38:56.225722+00:00,4.0,0.433,39.134,1
city_le_havre,Le Havre,osm_node_1867110558,Hôtel et Spa Vent d'Ouest,49.4913783,0.1007815,FR,OpenStreetMap,,,4.0,,,EUR,0.59,node,1867110558,"{'addr:city': 'Le Havre', 'addr:housenumber': '4', 'addr:postcode': '76600', 'addr:street': 'Rue de Caligny', 'internet_access': 'wlan', 'name': ""Hôtel et Spa Vent d'Ouest"", 'phone': '+33 2 35 42 50 69', 'spa': 'yes', 'stars': '4', 'tourism': 'hotel', 'website': 'https://www.ventdouest.fr/fr/'}",2026-04-02T07:36:25.171509+00:00,4.0,0.59,38.82,2
city_bayonne,Bayonne,osm_node_4506510047,Hôtel des Basses Pyrénées,43.4884451,-1.4771152,FR,OpenStreetMap,,,4.0,,,EUR,0.73,node,4506510047,"{'check_date': '2025-02-20', 'contact:city': 'Bayonne', 'contact:housenumber': '13', 'contact:postcode': '64100', 'contact:street': 'Rue Tour de Sault', 'internet_access': 'yes', 'internet_access:fee': 'no', 'name': 'Hôtel des Basses Pyrénées', 'ref:FR:SIRET': '79110198300025', 'stars': '4', 'tourism': 'hotel'}",2026-04-02T07:43:30.799208+00:00,4.0,0.73,38.54,2
